userid,condition,snippet,order,topic,total_actions,p10,any_interactions,was_clicked,clicked_count
9,0,2,3,435,248,0.2,1,1,1
9,0,2,3,435,248,0.5,0,0,0
9,0,2,3,435,248,0.3,1,1,1
9,0,2,3,435,248,0.1,1,1,1
9,0,2,3,435,248,0.0,0,0,0
9,0,2,3,435,248,0.0,0,0,0
52,0,1,3,435,176,0.2,0,0,0
52,0,1,3,435,176,0.3,1,1,10
52,0,0,1,347,259,0.3,1,1,7
52,0,0,1,347,259,0.4,1,1,3
5,0,1,4,408,109,0.2,0,0,0
5,0,1,4,408,109,0.4,1,1,3
34,0,4,4,408,552,0.0,1,1,10
34,0,4,4,408,552,0.0,1,1,1
34,0,4,4,408,552,0.4,1,1,4
34,0,4,4,408,552,0.4,0,0,0
7,0,4,3,435,178,0.2,1,1,1
7,0,4,3,435,178,0.1,1,1,2
7,0,4,3,435,178,0.2,1,1,2
7,0,4,3,435,178,0.2,0,0,0
7,0,4,3,435,178,0.5,1,1,1
22,0,1,3,435,173,0.0,1,1,5
42,0,4,2,341,647,0.1,0,0,0
42,0,4,2,341,647,0.0,0,0,0
42,0,4,2,341,647,0.0,0,0,0
42,0,4,2,341,647,0.2,1,1,3
42,0,4,2,341,647,0.2,1,1,2
42,0,4,2,341,647,0.0,1,1,1
42,0,4,2,341,647,0.2,1,1,8
42,0,4,2,341,647,0.0,1,1,6
42,0,4,2,341,647,0.0,0,0,0
42,0,4,2,341,647,0.1,1,1,3
48,0,0,3,435,208,0.1,1,1,6
48,0,0,3,435,208,0.7,1,1,3
30,0,2,4,408,391,0.1,0,0,0
30,0,2,4,408,391,0.6,1,1,7
16,0,1,2,341,169,0.3,1,1,2
16,0,1,2,341,169,0.1,0,0,0
16,0,1,2,341,169,0.3,1,1,1
16,0,1,2,341,169,0.2,1,1,2
12,0,2,2,341,283,0.2,1,1,4
12,0,2,2,341,283,0.2,1,1,1
12,0,2,2,341,283,0.1,1,1,1
12,0,2,2,341,283,0.3,0,0,0
19,0,2,2,341,123,0.2,1,1,3
10,0,1,1,347,284,0.6,1,1,9
10,0,1,1,347,284,0.1,1,1,4
10,0,1,1,347,284,0.0,1,1,1
6,0,0,1,347,493,0.3,0,0,0
6,0,0,1,347,493,0.3,1,1,17
31,0,2,4,408,305,0.6,1,1,12
38,0,1,2,341,168,0.1,1,1,8
18,0,4,2,341,323,0.2,1,1,3
18,0,4,2,341,323,0.2,1,1,2
18,0,4,2,341,323,0.2,1,1,1
18,0,4,2,341,323,0.3,1,1,1
18,0,4,2,341,323,0.1,1,1,1
18,0,4,2,341,323,0.2,0,0,0
18,0,4,2,341,323,0.2,0,0,0
18,0,4,2,341,323,0.0,0,0,0
1,0,2,1,347,291,0.1,1,1,1
1,0,2,1,347,291,0.3,1,1,4
1,0,2,1,347,291,0.3,1,1,7
5,0,2,3,435,178,0.2,1,1,6
13,0,4,1,347,538,0.2,1,1,5
13,0,4,1,347,538,0.0,1,1,3
13,0,4,1,347,538,0.1,0,0,0
13,0,4,1,347,538,0.0,1,1,4
13,0,4,1,347,538,0.1,0,0,0
13,0,4,1,347,538,0.1,1,1,1
13,0,4,1,347,538,0.2,1,1,3
13,0,4,1,347,538,0.0,0,0,0
13,0,4,1,347,538,0.2,1,1,1
47,0,4,4,408,536,0.6,1,1,11
47,0,4,4,408,536,0.2,1,1,15
33,0,4,2,341,199,0.2,1,1,1
33,0,4,2,341,199,0.2,1,1,2
33,0,4,2,341,199,0.1,1,1,3
10,0,2,4,408,372,0.6,1,1,20
25,0,2,2,341,282,0.3,1,1,1
25,0,2,2,341,282,0.2,1,1,5
25,0,2,2,341,282,0.3,1,1,1
28,0,1,4,408,519,0.4,1,1,9
28,0,1,4,408,519,0.2,1,1,8
32,0,0,3,435,364,0.2,1,1,9
32,0,0,3,435,364,0.1,0,0,0
32,0,0,3,435,364,0.7,0,0,0
29,0,1,3,435,263,0.7,0,0,0
29,0,1,3,435,263,0.2,1,1,1
29,0,1,3,435,263,0.1,0,0,0
29,0,1,3,435,263,0.0,0,0,0
29,0,1,3,435,263,0.8,1,1,7
