userid,condition,snippet,order,topic,total_actions,p10,any_interactions,was_clicked,clicked_count
12,0,4,1,347,240,0.3,1,1,6
12,0,4,1,347,240,0.1,0,0,0
46,0,1,2,341,217,0.1,0,0,0
46,0,1,2,341,217,0.0,1,1,1
46,0,1,2,341,217,0.1,0,0,0
46,0,1,2,341,217,0.1,0,0,0
46,0,1,2,341,217,0.1,1,1,3
32,0,2,1,347,326,0.0,1,1,1
32,0,2,1,347,326,0.1,1,1,6
32,0,2,1,347,326,0.6,1,1,5
28,0,0,3,435,528,0.5,1,1,13
28,0,0,3,435,528,0.6,1,1,1
37,0,0,4,408,171,0.1,0,0,0
37,0,0,4,408,171,0.6,1,1,6
34,0,2,2,341,327,0.0,0,0,0
34,0,2,2,341,327,0.0,0,0,0
34,0,2,2,341,327,0.2,1,1,1
34,0,2,2,341,327,0.3,1,1,1
34,0,2,2,341,327,0.1,0,0,0
34,0,2,2,341,327,0.0,0,0,0
34,0,2,2,341,327,0.0,0,0,0
34,0,2,2,341,327,0.0,1,1,1
34,0,2,2,341,327,0.0,0,0,0
34,0,2,2,341,327,0.0,0,0,0
34,0,2,2,341,327,0.0,0,0,0
48,0,2,1,347,181,0.0,0,0,0
48,0,2,1,347,181,0.4,1,1,6
35,0,2,3,435,262,0.4,1,1,10
52,0,2,4,408,268,0.6,1,1,19
27,0,1,1,347,298,0.1,1,1,11
35,0,0,1,347,254,0.1,0,0,0
35,0,0,1,347,254,0.0,1,1,1
35,0,0,1,347,254,0.1,1,1,3
22,0,2,4,408,354,0.1,1,1,1
22,0,2,4,408,354,0.6,1,1,8
17,0,1,4,408,876,0.4,0,0,0
17,0,1,4,408,876,0.1,0,0,0
17,0,1,4,408,876,0.0,1,1,2
17,0,1,4,408,876,0.0,0,0,0
17,0,1,4,408,876,0.3,0,0,0
17,0,1,4,408,876,0.1,0,0,0
17,0,1,4,408,876,0.0,0,0,0
17,0,1,4,408,876,0.2,0,0,0
17,0,1,4,408,876,0.3,1,1,1
17,0,1,4,408,876,0.6,1,1,2
17,0,1,4,408,876,0.4,1,1,7
17,0,1,4,408,876,0.4,1,1,5
40,0,2,4,408,158,0.0,0,0,0
40,0,2,4,408,158,0.2,0,0,0
40,0,2,4,408,158,0.2,0,0,0
40,0,2,4,408,158,0.2,1,1,3
40,0,2,4,408,158,0.4,1,1,5
15,0,1,4,408,247,0.1,0,0,0
