diversity,mean_interface,mean_query_count,mean_pages,mean_pages_per_query,mean_doc_count,mean_doc_count_per_query,mean_doc_depth_per_query,mean_doc_rel_count,mean_doc_rel_depth_per_query,mean_doc_rel_depth_per_serp,mean_hover_count_per_query,mean_hover_depth_per_query,mean_hover_trec_rel_count,mean_hover_trec_nonrel_count,mean_rels_found,mean_nrels_found,mean_clicked_rel,mean_clicked_nrel,mean_abandoned_serps,mean_query_time,mean_serp_time,mean_doc_time,mean_mark_time,mean_mark_time_limited,mean_serp_examination_time,mean_serp_examination_time_limited,mean_time_per_query,mean_time_per_doc,mean_time_per_serp,mean_time_per_snippet,mean_time_per_mark,mean_time_per_mark_limited,mean_time_per_serp_examination,mean_time_per_serp_examination_limited,mean_pmr,mean_pmn,mean_pcr,mean_pcn
1,0,5.92156862745098,8.84313725490196,1.78058823529412,9.80392156862745,3.01941176470588,12.848431372549,5.86274509803922,11.446862745098,6.02764705882353,29.0645098039216,18.766862745098,18.4509803921569,70.2549019607843,2.68627450980392,3.17647058823529,3.58823529411765,6.2156862745098,1.66666666666667,45.26,179.120980392157,162.934509803922,15.7417647058824,10.0582352941176,40.5519607843137,25.1841176470588,8.80392156862745,15.9654901960784,25.3125490196078,1.58725490196078,2.68941176470588,1.72705882352941,5.91843137254902,3.63627450980392,0.788627450980392,0.585098039215686,0.270196078431373,0.132352941176471
2,0,4.48514851485149,7.85148514851485,2.3090099009901,8.22772277227723,3.3690099009901,13.0136633663366,5.32673267326733,11.8153465346535,4.27732673267327,40.9739603960396,18.8372277227723,11.0693069306931,36.950495049505,2.88118811881188,2.44554455445545,3.7029702970297,4.52475247524752,1.61386138613861,39.2148514851485,169.343366336634,121.542772277228,18.2160396039604,9.27762376237624,39.599702970297,21.2436633663366,9.44534653465347,14.4276237623762,27.1210891089109,1.87306930693069,3.88405940594059,1.77653465346535,6.28950495049505,3.29811881188119,0.741881188118812,0.55039603960396,0.533168316831683,0.16960396039604
3,0,4.96078431372549,8.29411764705882,2.28235294117647,9.56862745098039,3.48392156862745,16.1935294117647,5.92156862745098,14.4503921568627,6.27313725490196,36.5472549019608,23.0149019607843,17.0196078431373,60.0980392156863,2.50980392156863,3.41176470588235,3.45098039215686,6.11764705882353,1.70588235294118,46.4003921568627,189.873921568627,139.584705882353,19.5129411764706,9.19509803921568,61.1094117647059,22.9903921568628,9.69176470588235,13.656862745098,23.3713725490196,1.70980392156863,3.51529411764706,1.57627450980392,6.3621568627451,3.17490196078431,0.742352941176471,0.646862745098039,0.25156862745098,0.12843137254902
4,0,5.19607843137255,9.58823529411765,2.28117647058824,9.31372549019608,3.23509803921569,13.9449019607843,5.90196078431373,12.7703921568627,4.84294117647059,38.4641176470588,19.0282352941176,11.0588235294118,59.0980392156863,2.27450980392157,3.62745098039216,2.86274509803922,6.45098039215686,1.76470588235294,43.2209803921569,184.080196078431,152.831568627451,18.9572549019608,9.91176470588235,40.8619607843137,23.7543137254902,8.68705882352941,15.088431372549,23.6425490196078,1.7121568627451,3.42666666666667,1.6778431372549,5.78725490196078,3.10039215686275,0.680980392156863,0.659019607843137,0.310196078431373,0.165686274509804
