user,interface,diversity,order,topic,query_count,pages,pages_per_query,doc_count,doc_count_per_query,doc_depth_per_query,doc_rel_count,doc_rel_depth_per_query,doc_rel_depth_per_serp,hover_count_per_query,hover_depth_per_query,hover_trec_rel_count,hover_trec_nonrel_count,rels_found,nrels_found,clicked_rel,clicked_nrel,abandoned_serps,query_time,serp_time,doc_time,mark_time,mark_time_limited,serp_examination_time,serp_examination_time_limited,time_per_query,time_per_doc,time_per_serp,time_per_snippet,time_per_mark,time_per_mark_limited,time_per_serp_examination,time_per_serp_examination_limited,pmr,pmn,pcr,pcn
40,0.00,2,0,367,5.00,5.00,1.00,1.00,0.20,0.20,1.00,0.20,0.20,0.80,1.60,3.00,4.00,1.00,0.00,1.00,0.00,3,39.31,14.90,11.69,9.25,0.00,10.85,5.48,7.86,11.69,2.98,3.72,9.25,0.00,2.17,1.10,1.00,0.00,0.33,0.00
40,0.00,2,1,347,8.00,13.00,1.62,6.00,0.75,5.00,4.00,3.00,1.85,12.50,9.75,3.00,75.00,0.00,4.00,0.00,6.00,6,145.98,186.17,36.05,13.62,13.62,48.57,22.83,18.25,6.01,14.32,1.86,3.40,3.40,3.74,1.76,0.00,0.67,0.00,0.08
40,0.00,3,2,341,12.00,13.00,1.08,5.00,0.42,2.17,4.00,0.75,0.69,7.83,7.42,8.00,81.00,1.00,3.00,1.00,4.00,4,76.08,268.17,58.41,14.37,9.35,93.83,24.12,6.34,11.68,20.63,2.85,3.59,2.34,7.22,1.86,1.00,0.75,0.12,0.05
40,0.00,1,3,435,8.00,9.00,1.12,6.00,0.75,1.38,6.00,1.38,1.22,5.88,5.25,6.00,36.00,5.00,1.00,5.00,1.00,4,112.78,106.39,34.08,23.81,13.44,34.98,21.18,14.10,5.68,11.82,2.26,3.97,2.24,3.89,2.35,1.00,1.00,0.83,0.03
40,0.00,4,4,408,13.00,14.00,1.08,5.00,0.38,1.69,5.00,1.69,1.57,3.69,2.54,3.00,30.00,0.00,5.00,0.00,5.00,7,81.63,91.72,25.56,14.09,14.09,45.92,24.13,6.28,5.11,6.55,1.91,2.82,2.82,3.28,1.72,0.00,1.00,0.00,0.17
41,0.00,2,0,367,6.00,11.00,1.83,6.00,1.00,9.67,4.00,5.50,3.00,32.00,15.50,37.00,36.00,3.00,1.00,4.00,2.00,2,37.86,162.66,136.44,5.86,5.86,29.35,17.90,6.31,22.74,14.79,0.85,1.47,1.47,2.67,1.63,0.75,0.50,0.11,0.06
41,0.00,4,1,347,10.00,29.00,2.90,13.00,1.30,17.60,5.00,10.10,3.48,35.60,26.50,51.00,214.00,4.00,1.00,6.00,7.00,3,59.30,371.15,208.89,11.53,11.53,67.81,57.15,5.93,16.07,12.80,1.04,2.31,2.31,2.34,1.97,0.67,0.14,0.12,0.03
41,0.00,1,2,341,31.00,59.00,1.90,22.00,0.71,7.65,4.00,1.97,1.03,27.26,19.94,76.00,542.00,1.00,3.00,7.00,15.00,9,235.33,892.87,384.62,28.81,2.10,145.61,132.95,7.59,17.48,15.13,1.06,7.20,0.53,2.47,2.25,0.14,0.20,0.09,0.03
41,0.00,3,3,435,1.00,5.00,5.00,5.00,5.00,47.00,4.00,47.00,9.40,94.00,48.00,18.00,30.00,3.00,1.00,4.00,1.00,0,7.52,131.58,95.71,18.93,5.58,25.18,8.80,7.52,19.14,26.32,1.40,4.73,1.40,5.04,1.76,0.75,1.00,0.22,0.03
41,0.00,2,4,408,23.00,42.00,1.83,17.00,0.74,7.65,4.00,0.87,0.48,19.39,14.04,43.00,280.00,0.00,4.00,0.00,17.00,12,77.77,476.20,351.58,45.57,7.95,104.17,84.33,3.38,20.68,11.34,1.07,11.39,1.99,2.48,2.01,0.00,0.24,0.00,0.06
