snippet_len,mean_interface,mean_query_count,mean_pages,mean_pages_per_query,mean_doc_count,mean_doc_count_per_query,mean_doc_depth_per_query,mean_doc_rel_count,mean_doc_rel_depth_per_query,mean_doc_rel_depth_per_serp,mean_hover_count_per_query,mean_hover_depth_per_query,mean_hover_trec_rel_count,mean_hover_trec_nonrel_count,mean_rels_found,mean_nrels_found,mean_clicked_rel,mean_clicked_nrel,mean_abandoned_serps,mean_query_time,mean_serp_time,mean_doc_time,mean_mark_time,mean_mark_time_limited,mean_serp_examination_time,mean_serp_examination_time_limited,mean_time_per_query,mean_time_per_doc,mean_time_per_serp,mean_time_per_snippet,mean_time_per_mark,mean_time_per_mark_limited,mean_time_per_serp_examination,mean_time_per_serp_examination_limited,mean_pmr,mean_pmn,mean_pcr,mean_pcn
0,2,3.71698113207547,8.86792452830189,2.86905660377358,10.1509433962264,4.23,15.4205660377358,6.67924528301887,12.6983018867925,4.29,50.9520754716981,24.4656603773585,13.7358490566038,57.1698113207547,2.58490566037736,4.09433962264151,3.20754716981132,6.94339622641509,1.49056603773585,30.4966037735849,178.336603773585,136.690754716981,16.7162264150943,7.65905660377358,63.818679245283,23.9652830188679,8.29301886792453,17.3083018867925,25.6111320754717,1.62849056603774,3.85377358490566,1.25509433962264,10.3369811320755,3.22283018867925,0.659811320754717,0.551320754716981,0.283207547169811,0.176603773584906
1,3,3.18867924528302,6.71698113207547,2.68603773584906,9.86792452830189,4.83188679245283,17.0437735849057,7,14.6309433962264,4.52150943396226,46.6788679245283,22.8741509433962,10.4339622641509,41.8301886792453,2.28301886792453,4.71698113207547,2.9811320754717,6.88679245283019,0.773584905660377,24.9683018867924,180.139056603774,143.367169811321,15.772641509434,7.70622641509434,55.9122641509434,20.638679245283,7.99245283018868,22.8233962264151,33.3230188679245,2.21320754716981,2.94811320754717,1.10830188679245,12.0049056603774,3.55905660377359,0.687924528301887,0.647169811320755,0.337358490566038,0.233207547169811
2,1,3.30188679245283,7.16981132075472,2.42924528301887,9.75471698113208,5.13830188679245,14.3907547169811,6.49056603773585,11.7798113207547,4.44264150943396,44.7283018867925,20.0228301886792,11.7735849056604,44.2264150943396,2.47169811320755,4.0188679245283,3.26415094339623,6.49056603773585,0.792452830188679,25.5003773584906,196.788113207547,136.417924528302,17.2179245283019,7.78056603773585,69.4049056603774,20.7920754716981,9.41849056603774,17.1888679245283,37.7898113207547,2.34943396226415,2.95301886792453,1.26150943396226,15.0294339622642,3.93283018867924,0.666792452830189,0.58,0.350943396226415,0.245094339622641
4,4,3.28301886792453,6.9622641509434,2.39509433962264,10.2264150943396,4.76358490566038,13.7360377358491,7.60377358490566,12.1767924528302,4.48075471698113,43.7235849056604,19.3992452830189,10.188679245283,42.8679245283019,2.66037735849057,4.94339622641509,3.43396226415094,6.79245283018868,0.566037735849057,25.3277358490566,185.904150943396,141.885471698113,21.6641509433962,7.89245283018868,45.5069811320755,19.5558490566038,8.12415094339623,18.9907547169811,42.7858490566038,2.59981132075472,4.12150943396227,1.17169811320755,12.0171698113208,3.45037735849057,0.659622641509434,0.667169811320755,0.403396226415094,0.24377358490566
