user,interface,snippet_len,order,topic,query_count,pages,pages_per_query,doc_count,doc_count_per_query,doc_depth_per_query,doc_rel_count,doc_rel_depth_per_query,doc_rel_depth_per_serp,hover_count_per_query,hover_depth_per_query,hover_trec_rel_count,hover_trec_nonrel_count,rels_found,nrels_found,clicked_rel,clicked_nrel,abandoned_serps,query_time,serp_time,doc_time,mark_time,mark_time_limited,serp_examination_time,serp_examination_time_limited,time_per_query,time_per_doc,time_per_serp,time_per_snippet,time_per_mark,time_per_mark_limited,time_per_serp_examination,time_per_serp_examination_limited,pmr,pmn,pcr,pcn
47,4,4,4,408,2.00,7.00,3.50,26.00,13.00,31.50,23.00,31.50,9.00,79.00,31.50,23.00,40.00,6.00,17.00,7.00,19.00,0,12.99,239.61,98.51,25.56,16.13,44.08,38.52,6.50,3.79,34.23,1.52,1.11,0.70,6.30,5.50,0.86,0.89,0.30,0.47
47,1,2,1,347,1.00,5.00,5.00,20.00,20.00,47.00,18.00,47.00,9.40,187.00,49.00,8.00,41.00,6.00,12.00,6.00,14.00,0,9.27,264.03,75.14,23.18,16.34,30.99,30.99,9.27,3.76,52.81,1.41,1.29,0.91,6.20,6.20,1.00,0.86,0.75,0.34
47,2,0,2,341,3.00,11.00,3.67,21.00,7.00,23.67,18.00,19.00,5.18,75.67,32.67,14.00,84.00,8.00,10.00,8.00,13.00,0,28.25,239.37,78.90,13.46,13.46,61.17,40.73,9.42,3.76,21.76,1.05,0.75,0.75,5.56,3.70,1.00,0.77,0.57,0.15
47,3,1,3,435,2.00,6.00,3.00,13.00,6.50,20.50,13.00,20.50,6.83,55.00,27.50,16.00,39.00,4.00,9.00,4.00,9.00,0,14.92,292.87,52.24,9.14,9.14,162.58,18.56,7.46,4.02,48.81,2.66,0.70,0.70,27.10,3.09,1.00,1.00,0.25,0.23
26,3,1,1,347,1.00,2.00,2.00,8.00,8.00,11.00,8.00,11.00,5.50,35.00,14.00,8.00,6.00,6.00,2.00,6.00,2.00,0,7.46,183.74,150.77,48.69,9.11,155.87,6.67,7.46,18.85,91.87,5.25,6.09,1.14,77.94,3.33,1.00,1.00,0.75,0.33
26,1,2,3,435,2.00,3.00,1.50,8.00,4.00,7.50,7.00,7.50,5.00,18.00,10.00,6.00,14.00,2.00,5.00,2.00,6.00,0,20.45,201.68,125.03,51.22,10.15,151.38,5.45,10.22,15.63,67.23,5.60,7.32,1.45,50.46,1.82,1.00,0.83,0.33,0.43
26,4,4,2,341,1.00,2.00,2.00,12.00,12.00,15.00,10.00,14.00,7.00,33.00,15.00,5.00,10.00,4.00,6.00,5.00,7.00,0,10.10,175.24,135.53,35.21,20.23,116.20,8.77,10.10,11.29,87.62,5.31,3.52,2.02,58.10,4.38,0.80,0.86,1.00,0.70
26,2,0,4,408,2.00,5.00,2.50,6.00,3.00,6.00,5.00,6.00,2.40,23.00,15.00,3.00,27.00,0.00,5.00,0.00,6.00,2,21.24,189.35,98.90,28.71,7.44,141.58,5.68,10.62,16.48,37.87,4.12,5.74,1.49,28.32,1.14,0.00,0.83,0.00,0.22
16,1,2,1,347,2.00,3.00,1.50,5.00,2.50,13.00,3.00,10.50,7.00,20.00,13.00,12.00,14.00,3.00,0.00,4.00,1.00,0,16.63,97.76,298.91,27.63,7.92,25.10,16.08,8.31,59.78,32.59,2.44,9.21,2.64,8.37,5.36,0.75,0.00,0.33,0.07
16,3,1,2,341,4.00,4.00,1.00,5.00,1.25,3.00,4.00,2.50,2.50,13.50,7.00,6.00,22.00,1.00,3.00,1.00,4.00,0,14.71,108.19,270.49,15.81,5.08,32.85,14.38,3.68,54.10,27.05,2.00,3.95,1.27,8.21,3.59,1.00,0.75,0.17,0.18
16,4,4,3,435,2.00,2.00,1.00,6.00,3.00,6.00,5.00,5.00,5.00,14.50,6.00,6.00,6.00,4.00,1.00,5.00,1.00,1,7.23,107.64,243.03,5.23,5.23,21.13,15.32,3.62,40.51,53.82,3.71,1.05,1.05,10.56,7.66,0.80,1.00,0.83,0.17
16,2,0,4,408,4.00,8.00,2.00,10.00,2.50,15.50,8.00,14.00,7.00,28.25,18.75,21.00,54.00,3.00,5.00,4.00,6.00,0,9.48,220.85,122.57,20.89,14.75,114.99,27.59,2.37,12.26,27.61,1.95,2.61,1.84,14.37,3.45,0.75,0.83,0.19,0.11
34,2,0,1,347,6.00,8.00,1.33,12.00,2.00,8.83,7.00,4.67,3.50,21.50,11.17,13.00,54.00,3.00,4.00,4.00,8.00,4,49.06,115.76,178.05,11.71,4.41,37.53,22.43,8.18,14.84,14.47,0.90,1.67,0.63,4.69,2.80,0.75,0.50,0.31,0.15
34,3,1,3,435,2.00,11.00,5.50,12.00,6.00,35.50,10.00,33.50,6.09,68.50,54.50,21.00,88.00,6.00,4.00,6.00,6.00,0,24.01,203.45,150.02,8.98,8.98,22.61,22.61,12.00,12.50,18.50,1.49,0.90,0.90,2.06,2.06,1.00,0.67,0.29,0.07
34,1,2,2,341,11.00,16.00,1.45,3.00,0.27,1.27,1.00,1.00,0.69,9.18,8.64,9.00,86.00,0.00,1.00,0.00,3.00,3,114.65,159.64,75.64,1.03,1.03,56.16,35.36,10.42,25.21,9.98,1.58,1.03,1.03,3.51,2.21,0.00,0.33,0.00,0.03
34,4,4,4,408,4.00,10.00,2.50,15.00,3.75,11.50,14.00,9.25,3.70,48.00,20.00,10.00,70.00,3.00,11.00,3.00,12.00,0,19.87,219.20,106.05,12.93,12.93,25.18,25.18,4.97,7.07,21.92,1.14,0.92,0.92,2.52,2.52,1.00,0.92,0.30,0.17
30,4,4,1,347,1.00,3.00,3.00,12.00,12.00,27.00,11.00,18.00,6.00,101.00,27.00,3.00,24.00,1.00,10.00,1.00,11.00,0,5.28,122.14,397.29,14.59,14.59,17.21,11.68,5.28,33.11,40.71,1.21,1.33,1.33,5.74,3.89,1.00,0.91,0.33,0.46
